Type,Num,Heure,Destination,Information,Voie
Transilien,121559,16h45,CREPY,,32
Transilien,124015,16h45,ST-LEU,,34
,7265,16h46,RANG DU FLIE,,10
TER,847813,16h49,COMPIEGNE,,8
TGV,7137,16h52,VALENCIENNES,,12
Transilien,124643,16h53,PERSAN-BT.,,36
Transilien,124643,16h53,VIA VALMOND,,36
Transilien,125465,16h55,LUZARCHES,,30
Thalys,9365,16h55,BRUXELLES-M.,,7
Transilien,123507,16h56,PONTOISE,,35
Transilien,125079,16h58,SARCELLES,,31
Transilien,124017,17h00,ST-LEU,,33
Intercités,2017,17h01,BOULOGNE-V.,,17
TER,847909,17h04,ST-QUENTIN,,13
TER,847433,17h05,BEAUVAIS,,18
TER,848523,17h07,AMIENS,,19
Transilien,124335,17h08,VALMONDOIS,,36
Transilien,125763,17h10,PERSAN-BT.,,31
Transilien,123513,17h11,PONTOISE,,35
Transilien,125081,17h13,SARCELLES,,30
Eurostar,9047,17h13,LONDON ST P.,,..
Transilien,121571,17h15,CREPY,,32
Transilien,124019,17h15,ST-LEU,,34
TGV,7067,17h16,LILLE FLANDR,,14

TER,847815,17h19,COMPIEGNE,,

Transilien,124649,17h23,PERSAN-BT.,,36
Transilien,124649,17h23,VIA VALMOND,,36
Transilien,125471,17h25,LUZARCHES,,31
Thalys,9469,17h25,BRUXELLES-M.,,9
Transilien,125471,17h25,LUZARCHES,,31
Transilien,123521,17h26,PONTOISE,,35
Transilien,125085,17h28,SARCELLES,,30
TER,848525,17h28,AMIENS,,15
Transilien,124021,17h30,ST-LEU,,34
Transilien,121575,17h31,CREPY,,33
TER,847435,17h35,BEAUVAIS,,20
Intercités,2315,17h37,CAMBRAI,,16
Transilien,124341,17h38,VALMONDOIS,,36
Transilien,125769,17h40,PERSAN-BT.,,31
Transilien,123527,17h41,PONTOISE,,35
Transilien,125087,17h43,SARCELLES,,30
Transilien,124023,17h45,ST-LEU,,34

TGV,7569,17h46,RANG-DU-FLIE,,
TGV,7269,17h46,DUNKERQUE,,

TER,847817,17h49,COMPIEGNE,,7
TER,849931,17h51,LAON,,18
TGV,7441,17h52,ARRAS,,13
TGV,7141,17h52,VALENCIENNES,,13
Transilien,124653,17h53,PERSAN-BT.,,36
Transilien,124653,17h53,VIA VALMOND,,36
Transilien,125475,17h55,LUZARCHES,,31
Transilien,123535,17h56,PONTOISE,,35
Transilien,125091,17h58,SARCELLES,,30
Thalys,9373,17h58,BRUXELLES-M.,,9
Thalys,9473,17h58,ESSEN,,9
Transilien,124025,18h00,ST-LEU,,34
Intercités,12019,18h01,AMIENS,,10
Transilien,121581,18h01,CREPY,,32
TER,847911,18h04,ST-QUENTIN,,14
TER,847439,18h05,BEAUVAIS,,18
TER,848527,18h07,AMIENS,,11
Transilien,125773,18h10,PERSAN-BT.,,31
Transilien,123541,18h11,PONTOISE,,35
Transilien,125093,18h13,SARCELLES,,30
Eurostar,9051,18h13,LONDON,,..
Transilien,124027,18h15,ST-LEU,,34
TGV,7271,18h16,TOURCOING,,12
TGV,7471,18h16,LILLE FLAND,,12
TER,847819,18h19,COMPIEGNE,,20
TGV,7343,18h22,HAZEBROUCK,,13
Transilien,124661,18h23,PERSAN-BT.,,36
Transilien,124661,18h23,VIA VALMOND,,36
Transilien,125481,18h25,LUZARCHES,,31
Thalys,9375,18h25,OOSTENDE,,8
Transilien,123549,18h26,PONTOISE,,35
Transilien,125097,18h28,SARCELLES,,30
TER,848529,18h28,LONGUEAU,,19
Transilien,121591,18h30,CREPY,,32
Transilien,124029,18h30,ST-LEU,,34
TER,847441,18h35,BEAUVAIS,,21
Intercités,12319,18h37,MAUBEUGE,,15
Transilien,124349,18h38,VALMONDOIS,,36
Transilien,124349,18h38,VALMONDOIS,,36
Transilien,125779,18h40,PERSAN-BT.,,31
Transilien,125099,18h43,SARCELLES,,30
Eurostar,9053,18h43,LONDON ST P.,,
Transilien,124031,18h45,ST-LEU,,34
TGV,7277,18h46,BOULOGNE,,12
TER,847821,18h49,COMPIEGNE,,13
TER,849935,18h51,LAON,,18
TGV,7345,18h52,DUNKERQUE,,14
TGV,7145,18h52,VALENCIENNES,,14
Transilien,124667,18h53,PERSAN-BT.,,36
Transilien,124667,18h53,VIA VALMOND,,36
Transilien,125485,18h55,LUZARCHES,,31
Thalys,9377,18h55,BRUXELLES-M.,,7
Transilien,123563,18h56,PONTOISE,,35
Transilien,125103,18h58,SARCELLES,,30
Transilien,121621,19h00,CREPY,,32
Transilien,124033,19h00,ST-LEU,,34
Intercités,2021,19h04,BOULOGNE-V.,,11
TER,847445,19h05,BEAUVAIS,,21
Intercités,12321,19h07,ST-QUENTIN,,10
Transilien,124353,19h08,VALMONDOIS,,36
Transilien,125783,19h10,PERSAN-BT.,,31
TER,848533,19h10,CREIL,,19
Transilien,123569,19h11,PONTOISE,,35
Transilien,125105,19h13,SARCELLES,,30
Eurostar,9055,19h13,LONDON,,..
Transilien,124035,19h15,ST-LEU,,34
TGV,7281,19h16,TOURCOING,,16
Transilien,124673,19h23,PERSAN-BT.,,36
Transilien,124673,19h23,VIA VALMOND,,36
Transilien,125491,19h25,LUZARCHES,,31
Thalys,9381,19h25,AMSTERDAM,,8
Transilien,123577,19h26,PONTOISE,,35
Intercités,12023,19h28,AMIENS,,17
Transilien,125111,19h28,SARCELLES,,30
Transilien,121629,19h30,CREPY,,32
Transilien,124037,19h30,ST-LEU,,34
Thalys,9483,19h34,LIEGE,,9
TER,847447,19h36,BEAUVAIS,,18
Intercités,12323,19h37,MAUBEUGE,,15
Transilien,124357,19h38,VALMONDOIS,,36
Transilien,125789,19h40,PERSAN-BT.,,31
Transilien,123583,19h41,PONTOISE,,35
Transilien,125113,19h43,SARCELLES,,30
Transilien,124039,19h45,ST-LEU,,34
TGV,7083,19h46,LILLE FLANDR,,13
TER,847823,19h49,COMPIEGNE,,7
TGV,7151,19h52,VALENCIENNES,,11
Transilien,124677,19h56,PERSAN-BT.,,35
TER,847449,20h01,BEAUVAIS,,
Intercités,12025,20h04,AMIENS,,16
Transilien,125493,20h04,LUZARCHES,,30
TER,847913,20h07,ST-QUENTIN,,10
TER,849937,20h08,LAON,,20
TER,848537,20h10,ST-JUST,,15
Transilien,123589,20h11,PONTOISE,,34
Transilien,121635,20h13,CREPY,,32
Eurostar,9059,20h13,LONDON,,..
Transilien,125119,20h19,SARCELLES,,30
Transilien,124679,20h26,PERSAN-BT.,,34
Intercités,12027,20h28,ST JUST,,11
Transilien,125791,20h34,PERSAN-BT.,,30
Transilien,123591,20h41,PONTOISE,,34
TER,847615,20h49,CREIL,,10
Transilien,121645,20h50,CREPY,,32
TGV,7091,20h52,LILLE FLANDR,,12
Thalys,9389,20h55,BRUXELLES-M.,,8
Transilien,124681,20h56,PERSAN-BT.,,34
TER,847451,21h01,BEAUVAIS,,18
Transilien,125499,21h04,LUZARCHES,,31
TER,847915,21h07,ST-QUENTIN,,19
Transilien,123593,21h11,PONTOISE,,34
Eurostar,9063,21h13,LONDON,,..
TER,849939,21h16,LAON,,20
Transilien,124683,21h26,PERSAN-BT.,,35
TER,848541,21h28,CREIL,,15
Transilien,125793,21h34,PERSAN-BT.,,30
Transilien,123595,21h41,PONTOISE,,34
Thalys,9395,21h55,BRUXELLES-M.,,9
Transilien,124685,21h56,PERSAN-BT.,,34
Transilien,124685,21h56,VIA VALMOND,,34
Transilien,125501,22h04,LUZARCHES,,31
Transilien,123597,22h11,PONTOISE,,34
TGV,7097,22h21,LILLE FLANDR,,14
Transilien,124687,22h26,PERSAN-BT.,,34
Transilien,124687,22h26,VIA VALMOND,,34
TER,848543,22h28,CREIL,,18
Transilien,125795,22h34,PERSAN-BT.,,30
TER,847919,22h37,ST-QUENTIN,,19
Transilien,123599,22h41,PONTOISE,,34
Transilien,121655,22h51,CREPY,,32
Transilien,124689,22h56,PERSAN-BT.,,34
Transilien,124689,22h56,VIA VALMOND,,34
Transilien,125503,23h04,LUZARCHES,,30
Transilien,123601,23h11,PONTOISE,,34
Transilien,120691,23h26,SARCELLES,,34
Transilien,125797,23h41,PERSAN-BT.,,30
Transilien,125799,00h11,PERSAN-BT.,,30
Transilien,125801,00h49,PERSAN-BT.,,30
